rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name,first_name_x,last_name_x,first_name_y,last_name_y
50,51,49,0.5393705194162491,412509,S001191,AZ,,Sinema,Kyrsten,Sinema,Kyrsten,Sinema
51,50,50,0.5434589271255553,412797,K000394,NJ,,Kim,Andy,Kim,Andy,Kim
52,49,51,0.553130359975418,456858,W000790,GA,,Warnock,Raphael Gamaliel,Warnock,Raphael Gamaliel,Warnock
53,48,52,0.6637885660559526,412492,P000603,KY,,Paul,Rand,Paul,Rand,Paul
54,47,53,0.6893852701793967,412391,M001183,WV,,Manchin,"Joe, Iii",Manchin,"Joe, Iii",Manchin
55,46,54,0.6938785312945375,412841,R000615,UT,,Romney,Willard Mitt (Mitt),Romney,Willard Mitt (Mitt),Romney
56,45,55,0.7020819788924222,300048,G000386,IA,,Grassley,Charles Ernest,Grassley,Charles Ernest,Grassley
57,44,56,0.7042437014570104,300072,M000355,KY,,McConnell,Addison Mitchell (Mitch),Mcconnell,Addison Mitchell (Mitch),Mcconnell
58,43,57,0.7137653054032992,412428,Y000064,IN,,Young,Todd,Young,Todd,Young
59,42,58,0.7382753364380498,400040,B001236,AR,,Boozman,John,Boozman,John,Boozman
60,41,59,0.7483388279018439,400061,C001047,WV,,Capito,Shelley Moore,Capito,Shelley Moore,Capito
61,40,60,0.7489630215126618,400284,M000934,KS,,Moran,Jerry,Moran,Jerry,Moran
62,39,61,0.7644353924105565,412269,C001075,LA,,Cassidy,Bill,Cassidy,Bill,Cassidy
63,38,62,0.7656923228025133,300047,G000359,SC,,Graham,Lindsey O.,Graham,Lindsey O.,Graham
64,37,63,0.7674880166748422,412665,S001198,AK,,Sullivan,Daniel Scott,Sullivan,Daniel Scott,Sullivan
65,36,64,0.7693537435543208,412568,M001190,OK,,Mullin,Markwayne,Mullin,Markwayne,Mullin
66,35,65,0.7868324395703591,412668,T000476,NC,,Tillis,Thomas Roland (Thom),Tillis,Thomas Roland (Thom),Tillis
67,34,66,0.7935679000810402,412679,K000393,LA,,Kennedy,John Neely,Kennedy,John Neely,Kennedy
68,33,67,0.7940923986143935,412669,R000605,SD,,Rounds,Marion Michael (Mike),Rounds,Marion Michael (Mike),Rounds
69,32,68,0.8013726919639635,412496,J000293,WI,,Johnson,Ron,Johnson,Ron,Johnson
70,31,69,0.8067548865291466,400432,W000437,MS,,Wicker,Roger F.,Wicker,Roger F.,Wicker
71,30,70,0.8160077183885625,456876,V000137,OH,,Vance,James David,Vance,James David,Vance
72,29,71,0.825231643034701,412471,S001184,SC,,Scott,Tim,Scott,Tim,Scott
73,28,72,0.8305448311137064,412667,E000295,IA,,Ernst,Joni,Ernst,Joni,Ernst
74,27,73,0.8387458295823472,412556,F000463,NE,,Fischer,Debra (Deb),Fischer,Debra (Deb),Fischer
