id,givenName,familyName,middleName,honorificSuffix,birthYear,deathYear,num_terms,positions,states,parties,congress_range,bio
A000089,Adam,Alexander,Rankin,,1781.0,1848.0,2,['Representative'],['TN'],"['Jackson Republican', 'Jacksonian']",18-19,"ALEXANDER, Adam Rankin
1781 – 1848
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
18th – 19th(1823 – 1827)
State / Territory
Tennessee
Position
Representative
2 Parties
Jackson Republican
Jacksonian
ALEXANDER, Adam Rankin, a Representative from Tennessee; born in Rockbridge County, Va., November 1, 1781; surveyor; member of the Tennessee state senate, 1817; register of the land office for the tenth surveyors' district, Madison County, Tenn.; member of the court of Madison County, Tenn., 1821; elected as a Jackson Republican to the Eighteenth and reelected as a Jacksonian candidate to the succeeding Congress (March 4, 1823-March 3, 1827); unsuccessful candidate for reelection to the Twentieth Congress in 1828; represented Shelby County, Tenn., at the Tennessee state abolitionist convention, 1834; member of the Tennessee state house of representatives, 1841 and 1843; died on November 1, 1848, in Jackson, Madison County, Tenn.; interment in Pryor Cemetery, Marshall County, Miss."
A000092,Evan,Alexander,Shelby,,1767.0,1809.0,2,['Representative'],['NC'],['Democratic Republican'],9-10,"ALEXANDER, Evan Shelby
ca. 1767 – 1809
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
9th – 10th(1806 – 1809)
State / Territory
North Carolina
Position
Representative
Party
Democratic Republican
ALEXANDER, Evan Shelby, (cousin of Nathaniel Alexander), a Representative from North Carolina; born in Mecklenburg County, N.C., ca. 1767; attended the common schools; graduated from Princeton College in 1787; studied law; admitted to the bar and commenced practice in Salisbury, Rowan County, N.C.; member of the North Carolina state house of commons 1796-1803; trustee of the University of North Carolina at Chapel Hill 1799-1809; elected as a Democratic Republican to the Ninth Congress to fill the vacancy caused by the resignation of Nathaniel Alexander; reelected to the Tenth Congress and served from February 24, 1806, to March 3, 1809; died ca. October 28, 1809, in Salisbury, N.C.; interment at Old Lutheran Cemetery, Salisbury, N.C."
A000096,John,Alexander,,,1777.0,1848.0,2,['Representative'],['OH'],['Democratic Republican'],13-14,"ALEXANDER, John
1777 – 1848
Biography
Congresses
Bibliography
Research Collections
2 US Congresses Served
House Years of Service
13th – 14th(1813 – 1817)
State / Territory
Ohio
Position
Representative
Party
Democratic Republican
ALEXANDER, John, a Representative from Ohio; born at Crowsville, in the Spartanburg District, S.C., April 16, 1777; attended the public schools; moved to Butler County, Ohio, and thence to Miamisburg, Montgomery County, in 1803; studied law; was admitted to the bar and commenced practice in 1804; moved to Xenia, Greene County, Ohio, in 1805 and continued his profession there, also practicing in Columbus, Chillicothe, and before the Supreme Court of the United States at Washington, D.C.; appointed prosecuting attorney in 1808 and held that office until 1833, except during the time he was a Member of Congress; elected as a Democratic Republican to the Thirteenth and Fourteenth Congresses (March 4, 1813-March 3, 1817); unsuccessful candidate for reelection in 1816 to the Fifteenth Congress; resumed the practice of law at Xenia; member of the Ohio state senate in 1822 and 1823; served in the Ohio state house of representatives two terms; retired from the practice of his profession in 1834; died at Xenia, Ohio, June 28, 1848; interment in Woodlawn Cemetery."
A000099,Mark,Alexander,,,1792.0,1883.0,7,['Representative'],['VA'],"['Democratic Republican', 'Jacksonian', 'Crawford Republican']",16-22,"ALEXANDER, Mark
1792 – 1883
Biography
Congresses
Bibliography
Research Collections
7 US Congresses Served
House Years of Service
16th(1819 – 1821)
17th – 22nd(1821 – 1833)
State / Territory
Virginia
Position
Representative
3 Parties
Democratic Republican
Crawford Republican
Jacksonian
ALEXANDER, Mark, a Representative from Virginia; born on a plantation near Boydton, Mecklenburg County, Va., February 7, 1792; attended the public schools; graduated from the University of North Carolina at Chapel Hill, in 1811; studied law; was admitted to the bar and commenced the practice of law in Boydton, Va.; member of the Virginia state house of delegates, 1815-1819; elected as a Democratic Republican to the Sixteenth Congress and to the succeeding Congress; reelected as a Crawford Republican to the Eighteenth Congress; reelected as a Jacksonian candidate to the Nineteenth Congress and the three succeeding Congresses (March 4, 1819-March 3, 1833); chairman, Committee on District of Columbia (Nineteenth and Twentieth Congresses); declined to be a candidate for renomination in 1832; delegate to the Virginia state constitutional convention of 1829-1830; again a member of the Virginia state house of delegates, 1845-1846; retired from political life and engaged in the management of his large estate; died in Scotland Neck, Halifax County, N.C., October 7, 1883; interment in the cemetery of the old Episcopal Church."
A000100,Nathaniel,Alexander,,,1756.0,1808.0,1,['Representative'],['NC'],['Democratic Republican'],8-8,"ALEXANDER, Nathaniel
1756 – 1808
Biography
Congresses
Bibliography
Research Collections
US Congress Served
House Years of Service
8th(1803 – 1805)
State / Territory
North Carolina
Position
Representative
Party
Democratic Republican
ALEXANDER, Nathaniel, (cousin of Evan Shelby Alexander), a Representative from North Carolina; born near Concord, Mecklenburg County, N.C., March 5, 1756; attended the common schools; graduated from Princeton College in 1776; studied medicine and surgery; served in the Revolutionary War as a surgeon 1778-1782; after independence was established, practiced his profession at the High Hills of Santee in South Carolina; subsequently returned to Charlotte, N.C., and continued practice; member of the North Carolina state house of commons in 1797; served in the North Carolina state senate in 1801 and 1802; elected as a Democratic Republican to the Eighth and Ninth Congresses and served from March 4, 1803, until November 1805, when he resigned to become Governor, before the convening of the Ninth Congress; Governor of North Carolina 1805-1807; died in Salisbury, Rowan County, N.C., March 7, 1808; interment in Old Cemetery, Charlotte, N.C."
A000108,Chilton,Allan,,,1786.0,1858.0,3,['Representative'],['KY'],"['Whig', 'Anti-Jacksonian']",22-24,"ALLAN, Chilton
1786 – 1858
Biography
Congresses
Bibliography
Research Collections
3 US Congresses Served
House Years of Service
22nd – 24th(1831 – 1837)
State / Territory
Kentucky
Position
Representative
2 Parties
Anti-Jacksonian
Whig
ALLAN, Chilton, a Representative from Kentucky; born in Albemarle County, Va., April 6, 1786; moved with his mother to Winchester, Clark County, Ky., in 1797; attended the common schools, and also received private instructions; served an apprenticeship of three years as a wheelwright, studying law in his leisure time; was admitted to the bar in 1808 and commenced practice in Winchester; member of the State house of representatives in 1811, 1815, 1822, and 1830; member of the State senate 1823-1827; elected as an Anti-Jacksonian candidate to the Twenty-second and Twenty-third Congresses and reelected as a Whig to the Twenty-fourth Congress (March 4, 1831-March 3, 1837); chairman, Committee on Territories (Twenty-third Congress); was not a candidate for renomination in 1836; appointed president of the State board of internal improvements in 1837 and served until 1839, when he resigned; resumed the practice of law; again a member of the State house of representatives, in 1842; died in Winchester, Ky., September 3, 1858; interment in Winchester Cemetery."
A000122,Heman,Allen,,,1779.0,1852.0,1,['Representative'],['VT'],['Democratic Republican'],15-15,"ALLEN, Heman (of Colchester)
1779 – 1852
Biography
Congresses
Bibliography
Research Collections
US Congress Served
House Years of Service
15th(1817 – 1818)
State / Territory
Vermont
Position
Representative
Party
Democratic Republican
ALLEN, Heman (of Colchester), a Representative from Vermont; born in Poultney, Vt., February 23, 1779; attended the common schools; was graduated from Dartmouth College, Hanover, N.H., in 1795; studied law; was admitted to the bar in 1801 and commenced practice in Colchester, Vt.; sheriff of Chittenden County in 1808 and 1809; chief justice of the county court 1811-1814; member of the State house of representatives 1812-1817; elected as a Democratic Republican to the Fifteenth Congress and served from March 4, 1817, to April 20, 1818, when he resigned to become marshal; appointed United States marshal for the district of Vermont on December 14, 1818, and reappointed on December 24, 1822; United States Minister Plenipotentiary to Chile from January 27, 1823, to July 31, 1827; president of the Burlington branch of the United States Bank from 1830 until the expiration of its charter in 1836; resumed the practice of his profession in Highgate, Franklin County, Vt., where he died April 7, 1852; interment in Allen Cemetery, Burlington, Vt."
A000123,Heman,Allen,,,1777.0,1844.0,4,['Representative'],['VT'],"['Whig', 'Anti-Jacksonian']",22-25,"ALLEN, Heman (of Milton)
1777 – 1844
Biography
Congresses
Bibliography
Research Collections
4 US Congresses Served
House Years of Service
22nd – 25th(1831 – 1839)
State / Territory
Vermont
Position
Representative
2 Parties
Anti-Jacksonian
Whig
ALLEN, Heman (of Milton), a Representative from Vermont; born in Ashfield (now Deerfield), Mass., June 14, 1777; attended an academy in Chesterfield, N.H., for two years; moved to Grand Isle, Vt.; studied law; admitted to the bar in 1803 and commenced practice in Milton, Vt.; member of the State house of representatives 1810-1814, 1816, 1817, 1822, and 1824-1826; moved to Burlington, Chittenden County, Vt., in 1828 and continued the practice of his profession; elected as an Anti-Jacksonian candidate to the Twenty-second through the Twenty-fourth Congresses and as a Whig to the Twenty-fifth Congress (March 4, 1831-March 3, 1839); chairman, Committee on Expenditures in the Department of the Treasury (Twenty-third through Twenty-fifth Congresses); unsuccessful candidate for reelection in 1838 to the Twenty-sixth Congress; resumed the practice of law; died in Burlington, Vt., on December 11, 1844; interment in Elmwood Avenue Cemetery."
A000132,John,Allen,James,,1797.0,1871.0,1,['Representative'],['VA'],['Anti-Jacksonian'],23-23,"ALLEN, John James
1797 – 1871
Biography
Congresses
Bibliography
Research Collections
US Congress Served
House Years of Service
23rd(1833 – 1835)
State / Territory
Virginia
Position
Representative
Party
Anti-Jacksonian
ALLEN, John James, (brother of Robert Allen), a Representative from Virginia; born in Woodstock, Shenandoah County, Va., September 25, 1797; attended Dickinson College, Carlisle, Pa., in 1811 and 1812, and Washington College (now Washington and Lee University), Lexington, Va., in 1814 and 1815; studied law; was admitted to the bar in 1819 and commenced practice at Campbell Courthouse; moved to Clarksburg, Harrison County, Va., and continued practice; member of the State senate 1828-1830; Commonwealth attorney for Harrison, Lewis, and Preston Counties in 1834, serving while a Member of Congress; elected as an Anti-Jacksonian candidate to the Twenty-third Congress (March 4, 1833-March 3, 1835); unsuccessful candidate for reelection in 1834 to the Twenty-fourth Congress; judge of the seventeenth circuit court of Virginia 1836-1840; judge of the State supreme court of appeals 1840-1865, serving as presiding justice 1852-1865; president of the executive council in 1861; author of the ``Botetourt resolutions'' of 1861; retired to private life and engaged in the management of his large estate; died at Beaverdam, near Fincastle, Botetourt County, Va., September 18, 1871; interment in the family burying ground in Lauderdale Cemetery, near his estate in Botetourt County, Va."
A000129,John,Allen,,,1763.0,1812.0,1,['Representative'],['CT'],['Federalist'],5-5,"ALLEN, John
1763 – 1812
Biography
Congresses
Bibliography
Research Collections
US Congress Served
House Years of Service
5th(1797 – 1799)
State / Territory
Connecticut
Position
Representative
Party
Federalist
ALLEN, John, (father of John William Allen), a Representative from Connecticut; born in Great Barrington, Mass., June 12, 1763; attended the common schools; studied law at the Litchfield Law School; was admitted to the bar in 1786 and commenced practice in Litchfield, Conn.; member of the State house of representatives 1793-1796, serving as clerk in 1796; elected as a Federalist to the Fifth Congress (March 4, 1797-March 3, 1799); declined to be a candidate for renomination in 1798; member of the State council and of the supreme court of errors 1800-1806; continued the practice of law in Litchfield, Conn., until his death on July 31, 1812; interment in East Cemetery."
