"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"C000947","Jacob","Crowninshield",,"Jacob","Crowninshield",,,"Mr.",,,"1770","1808","[{""position"":""Representative"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1802-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1804-11-05"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1806-11-03"",""electionCirca"":false}]"
"C000953","Josiah","Crudup",,"Josiah","Crudup",,,"Mr.",,,"1791","1872","[{""position"":""Representative"",""congressNumber"":17,""stateName"":""NC"",""parties"":[""Democratic Republican""],""electionDate"":""1821-08-09"",""electionCirca"":false}]"
"C000954","Daniel","Cruger",,"Daniel","Cruger",,,"Mr.",,,"1780","1843","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1816-04-30"",""electionCirca"":true}]"
"C000956","George","Crump","William","George","Crump","William",,"Mr.",,,"1786","1848","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1825-04"",""electionCirca"":true}]"
"C000967","Thomas","Culbreth",,"Thomas","Culbreth",,,"Mr.",,,"1786","1843","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1816-10-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""MD"",""parties"":[""Democratic Republican""],""electionDate"":""1818-10-05"",""electionCirca"":false}]"
"C000976","John","Culpepper",,"John","Culpepper",,,"Mr.",,,"1761","1841","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1813-05-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":14,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1815-08-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":10,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1806-08-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1819-08-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""NC"",""parties"":[""Adams-Clay Federalist""],""electionDate"":""1823-08-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""NC"",""parties"":[""Adams""],""electionDate"":""1827-08-09"",""electionCirca"":false}]"
"C001019","John","Cushman","Paine","John","Cushman","Paine",,"Mr.",,,"1784","1848","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""NY"",""parties"":[""Federalist""],""electionDate"":""1816-04-30"",""electionCirca"":true}]"
"C001020","Joshua","Cushman",,"Joshua","Cushman",,,"Mr.",,,"1761","1834","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1818-11-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""ME"",""parties"":[""Democratic Republican""],""electionDate"":""1820-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""ME"",""parties"":[""Adams-Clay Republican""],""electionDate"":""1823-06-30"",""electionCirca"":false}]"
"C001023","Alfred","Cuthbert",,"Alfred","Cuthbert",,,"Mr.",,,"1785","1856","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1813-12-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":14,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1814-10-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1820-10-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":18,""stateName"":""GA"",""parties"":[""Crawford Republican""],""electionDate"":""1822-10-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":19,""stateName"":""GA"",""parties"":[""Jacksonian""],""electionDate"":""1824-10-04"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":23,""stateName"":""GA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":24,""stateName"":""GA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":25,""stateName"":""GA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":26,""stateName"":""GA"",""parties"":[""Democrat""]},{""position"":""Senator"",""congressNumber"":27,""stateName"":""GA"",""parties"":[""Democrat""]}]"
"C001024","John","Cuthbert","Alfred","John","Cuthbert","Alfred",,"Mr.",,,"1788","1881","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""GA"",""parties"":[""Democratic Republican""],""electionDate"":""1818-10-05"",""electionCirca"":false}]"
"C001026","Manasseh","Cutler",,"Manasseh","Cutler",,,"Mr.",,,"1742","1823","[{""position"":""Representative"",""congressNumber"":7,""stateName"":""MA"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Federalist""]}]"
"C001031","Charles","Cutts",,"Charles","Cutts",,,,,,"1769","1846","[{""position"":""Senator"",""congressNumber"":11,""stateName"":""NH"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":12,""stateName"":""NH"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""NH"",""parties"":[""Democratic Republican""]}]"
"C001033","Richard","Cutts",,"Richard","Cutts",,,"Mr.",,,"1771","1845","[{""position"":""Representative"",""congressNumber"":7,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1801-06-22"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":8,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1802-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1804-11-05"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1806-11-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":11,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1808-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":12,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1810-11-05"",""electionCirca"":false}]"
"D000002","David","Daggett",,"David","Daggett",,,,,,"1764","1851","[{""position"":""Senator"",""congressNumber"":13,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":14,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""CT"",""parties"":[""Federalist""]}]"
"D000011","George","Dallas","Mifflin","George","Dallas","Mifflin",,"Mr.",,,"1792","1864","[{""position"":""Senator"",""congressNumber"":22,""stateName"":""PA"",""parties"":[""Jacksonian""]}]"
"D000013","Tristram","Dalton",,"Tristram","Dalton",,,,,,"1738","1817","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""MA"",""parties"":[""Pro-Administration""]}]"
"D000024","Samuel","Dana","Whittlesey","Samuel","Dana","Whittlesey",,"Mr.",,,"1760","1830","[{""position"":""Representative"",""congressNumber"":4,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":5,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":6,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":7,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":8,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1802-09-20"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1804-09-17"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":10,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1806-09-15"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":11,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1808-09-19"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":11,""stateName"":""CT"",""parties"":[""Federalist""],""electionCirca"":false},{""position"":""Senator"",""congressNumber"":12,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":14,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":16,""stateName"":""CT"",""parties"":[""Federalist""]}]"
"D000023","Samuel","Dana",,"Samuel","Dana",,,"Mr.",,,"1767","1835","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1814-05-23"",""electionCirca"":false}]"
"D000026","Joseph","Dane",,"Joseph","Dane",,,"Mr.",,,"1778","1858","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""ME"",""parties"":[""Federalist""],""electionDate"":""1820-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""ME"",""parties"":[""Federalist""],""electionDate"":""1820-11-07"",""electionCirca"":false}]"
"D000033","Henry","Daniel",,"Henry","Daniel",,,"Mr.",,,"1786","1873","[{""position"":""Representative"",""congressNumber"":20,""stateName"":""KY"",""parties"":[""Jacksonian""],""electionDate"":""1827-08-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":21,""stateName"":""KY"",""parties"":[""Jacksonian""],""electionDate"":""1829-08-03"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""KY"",""parties"":[""Jacksonian""],""electionDate"":""1831-08-01"",""electionCirca"":false}]"
"D000047","Ezra","Darby",,"Ezra","Darby",,,"Mr.",,,"1768","1808","[{""position"":""Representative"",""congressNumber"":9,""stateName"":""NJ"",""parties"":[""Democratic Republican""],""electionDate"":""1804-11-06"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":10,""stateName"":""NJ"",""parties"":[""Democratic Republican""],""electionDate"":""1806-10-14"",""electionCirca"":true}]"
"D000056","Edward","Darlington",,"Edward","Darlington",,,"Mr.",,,"1795","1884","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""PA"",""parties"":[""Anti-Masonic""],""electionDate"":""1832-10-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""PA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-10-14"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":25,""stateName"":""PA"",""parties"":[""Anti-Masonic""],""electionDate"":""1836-10-11"",""electionCirca"":false}]"
"D000057","Isaac","Darlington",,"Isaac","Darlington",,,"Mr.",,,"1781","1839","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""PA"",""parties"":[""Federalist""],""electionDate"":""1816-10-08"",""electionCirca"":false}]"
"D000059","William","Darlington",,"William","Darlington",,,"Mr.",,,"1782","1863","[{""position"":""Representative"",""congressNumber"":14,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1814-10-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1818-10-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1820-10-10"",""electionCirca"":false}]"
"D000069","Franklin","Davenport",,"Franklin","Davenport",,,"Mr.",,,"1755","1832","[{""position"":""Senator"",""congressNumber"":5,""stateName"":""NJ"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":6,""stateName"":""NJ"",""parties"":[""Federalist""]}]"
"D000073","James","Davenport",,"James","Davenport",,,"Mr.",,,"1758","1797","[{""position"":""Representative"",""congressNumber"":4,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":5,""stateName"":""CT"",""parties"":[""Federalist""]}]"
"D000076","John","Davenport",,"John","Davenport",,,"Mr.",,,"1788","1855","[{""position"":""Representative"",""congressNumber"":20,""stateName"":""OH"",""parties"":[""Adams""],""electionDate"":""1826-10-10"",""electionCirca"":false}]"
"D000075","John","Davenport",,"John","Davenport",,,"Mr.",,,"1752","1830","[{""position"":""Representative"",""congressNumber"":6,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":7,""stateName"":""CT"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":8,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1802-09-20"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1804-09-17"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":10,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1806-09-15"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":11,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1808-09-19"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":12,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1810-09-17"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":13,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1812-09-21"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":14,""stateName"":""CT"",""parties"":[""Federalist""],""electionDate"":""1814-09-19"",""electionCirca"":false}]"
"D000079","Thomas","Davenport",,"Thomas","Davenport",,,"Mr.",,,,"1838","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1825-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":20,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1827-04-09"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":21,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1829-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":22,""stateName"":""VA"",""parties"":[""Jacksonian""],""electionDate"":""1831-08-02"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""VA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-04"",""electionCirca"":true}]"
"D000087","William","Davidson",,"William","Davidson",,,"Mr.",,,"1778","1857","[{""position"":""Representative"",""congressNumber"":15,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1818-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":16,""stateName"":""NC"",""parties"":[""Federalist""],""electionDate"":""1819-08-13"",""electionCirca"":false}]"
"D000092","Amos","Davis",,"Amos","Davis",,,"Mr.",,,"1794","1835","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""KY"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-08-05"",""electionCirca"":false}]"
"D000117","John","Davis",,"John","Davis",,,"Mr.",,,"1787","1854","[{""position"":""Representative"",""congressNumber"":19,""stateName"":""MA"",""parties"":[""Adams""],""electionDate"":""1825-08-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":20,""stateName"":""MA"",""parties"":[""Adams""],""electionDate"":""1826-11-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":21,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1828-11-07"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-04-01"",""electionCirca"":false},{""position"":""Senator"",""congressNumber"":24,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""]},{""position"":""Senator"",""congressNumber"":25,""stateName"":""MA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":26,""stateName"":""MA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":29,""stateName"":""MA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":30,""stateName"":""MA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":31,""stateName"":""MA"",""parties"":[""Whig""]},{""position"":""Senator"",""congressNumber"":32,""stateName"":""MA"",""parties"":[""Whig""]}]"
"D000133","Roger","Davis",,"Roger","Davis",,,"Mr.",,,"1762","1815","[{""position"":""Representative"",""congressNumber"":12,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1810-10-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":13,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionDate"":""1812-10-13"",""electionCirca"":false}]"
"D000134","Samuel","Davis",,"Samuel","Davis",,,"Mr.",,,"1774","1831","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""MA"",""parties"":[""Federalist""],""electionDate"":""1812-11-02"",""electionCirca"":false}]"
"D000138","Thomas","Davis","Terry","Thomas","Davis","Terry",,"Mr.",,,,"1807","[{""position"":""Representative"",""congressNumber"":5,""stateName"":""KY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":6,""stateName"":""KY"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":7,""stateName"":""KY"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"D000142","Warren","Davis","Ransom","Warren","Davis","Ransom",,"Mr.",,,"1793","1835","[{""position"":""Representative"",""congressNumber"":20,""stateName"":""SC"",""parties"":[""Jacksonian""],""electionDate"":""1826-10-09"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":21,""stateName"":""SC"",""parties"":[""Jacksonian""],""electionDate"":""1828-10-13"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":22,""stateName"":""SC"",""parties"":[""Nullifier""],""electionDate"":""1830-10-11"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":23,""stateName"":""SC"",""parties"":[""Nullifier""],""electionDate"":""1833-09-02"",""electionCirca"":true}]"
"D000151","John","Dawson",,"John","Dawson",,,"Mr.",,,"1762","1814","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Representative"",""congressNumber"":5,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1797-04-20"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":6,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1799-04-24"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":7,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1801-04-22"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":8,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1803-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":9,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1805-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":10,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1807-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":11,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1809-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":12,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionDate"":""1811-04"",""electionCirca"":true},{""position"":""Representative"",""congressNumber"":13,""stateName"":""VA"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"D000157","William","Dawson","Johnson","William","Dawson","Johnson",,"Mr.",,,,"1798","[{""position"":""Representative"",""congressNumber"":3,""stateName"":""NC"",""parties"":[""Anti-Administration""]}]"
"D000159","Rowland","Day",,"Rowland","Day",,,"Mr.",,,"1779","1853","[{""position"":""Representative"",""congressNumber"":18,""stateName"":""NY"",""parties"":[""Crawford Republican""],""electionDate"":""1822-11-04"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1832-11-05"",""electionCirca"":true}]"
"D000162","Charles","Dayan",,"Charles","Dayan",,,"Mr.",,,"1792","1877","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false}]"
"D000165","Jonathan","Dayton",,"Jonathan","Dayton",,,"Mr.",,,"1760","1824","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NJ""},{""position"":""Representative"",""congressNumber"":2,""stateName"":""NJ"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":3,""stateName"":""NJ"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":4,""stateName"":""NJ"",""parties"":[""Federalist""],""leadershipPositions"":[{""position"":""Speaker Of The House"",""startDate"":""1795-12-07"",""startCirca"":false,""endDate"":""1797-03-03"",""endCirca"":false}]},{""position"":""Representative"",""congressNumber"":5,""stateName"":""NJ"",""parties"":[""Federalist""],""leadershipPositions"":[{""position"":""Speaker Of The House""}]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NJ"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""NJ"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""NJ"",""parties"":[""Federalist""]}]"
"D000193","John","De Graff","Isaac","John","De Graff","Isaac",,"Mr.",,,"1783","1848","[{""position"":""Representative"",""congressNumber"":20,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1826-11-06"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":25,""stateName"":""NY"",""parties"":[""Democrat""],""electionDate"":""1836-11-07"",""electionCirca"":true}]"
"D000284","Charles","De Witt","Gerrit","Charles","De Witt","Gerrit",,"Mr.",,,"1789","1839","[{""position"":""Representative"",""congressNumber"":21,""stateName"":""NY"",""parties"":[""Jacksonian""],""electionDate"":""1828-11-03"",""electionCirca"":false}]"
"D000287","Jacob","De Witt","Hasbrouck","Jacob","De Witt","Hasbrouck",,"Mr.",,,"1784","1857","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1818-04-28"",""electionCirca"":false}]"
"D000295","James","De Wolf",,"James","De Wolf",,,,,,"1764","1837","[{""position"":""Senator"",""congressNumber"":17,""stateName"":""RI"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":18,""stateName"":""RI"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":19,""stateName"":""RI"",""parties"":[""Crawford Republican""]}]"
"D000173","Josiah","Dean",,"Josiah","Dean",,,"Mr.",,,"1748","1818","[{""position"":""Representative"",""congressNumber"":10,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionDate"":""1806-11-03"",""electionCirca"":false}]"
"D000179","Henry","Dearborn","Alexander Scammell","Henry","Dearborn","Alexander Scammell",,"Mr.",,,"1783","1851","[{""position"":""Representative"",""congressNumber"":22,""stateName"":""MA"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1830-11-01"",""electionCirca"":false}]"
"D000178","Henry","Dearborn",,"Henry","Dearborn",,,"Mr.",,,"1751","1829","[{""position"":""Representative"",""congressNumber"":3,""stateName"":""MA"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":4,""stateName"":""MA"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"D000181","Edmund","Deberry",,"Edmund","Deberry",,,"Mr.",,,"1787","1859","[{""position"":""Representative"",""congressNumber"":21,""stateName"":""NC"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1835-08-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":23,""stateName"":""NC"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-08-08"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":24,""stateName"":""NC"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1835-08-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":25,""stateName"":""NC"",""parties"":[""Whig""],""electionDate"":""1837-08-11"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":26,""stateName"":""NC"",""parties"":[""Whig""],""electionDate"":""1839-08-08"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":27,""stateName"":""NC"",""parties"":[""Whig""],""electionDate"":""1841-05-13"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":28,""stateName"":""NC"",""parties"":[""Whig""],""electionDate"":""1843-08-10"",""electionCirca"":false},{""position"":""Representative"",""congressNumber"":31,""stateName"":""NC"",""parties"":[""Whig""],""electionDate"":""1849-08-09"",""electionCirca"":false}]"
"D000226","Benjamin","Deming","F.","Benjamin","Deming","F.",,"Mr.",,,"1790","1834","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""VT"",""parties"":[""Anti-Masonic""],""electionDate"":""1833-03-05"",""electionCirca"":false}]"
"D000238","George","Denison",,"George","Denison",,,,,,"1790","1831","[{""position"":""Representative"",""congressNumber"":16,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":17,""stateName"":""PA"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"D000240","William","Denning",,"William","Denning",,,"Mr.",,,"1740","1819","[{""position"":""Representative"",""congressNumber"":11,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1808-04-26"",""electionCirca"":true}]"
"D000243","John","Dennis",,"John","Dennis",,,"Mr.",,,"1771","1806","[{""position"":""Representative"",""congressNumber"":5,""stateName"":""MD"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":6,""stateName"":""MD"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":7,""stateName"":""MD"",""parties"":[""Federalist""]},{""position"":""Representative"",""congressNumber"":8,""stateName"":""MD"",""parties"":[""Federalist""]}]"
"D000245","Littleton","Dennis","Purnell","Littleton","Dennis","Purnell",,"Mr.",,,"1786","1834","[{""position"":""Representative"",""congressNumber"":23,""stateName"":""MD"",""parties"":[""Anti-Jacksonian""],""electionDate"":""1833-10-07"",""electionCirca"":false}]"
"D000248","Harmar","Denny",,"Harmar","Denny",,,"Mr.",,,"1794","1852","[{""position"":""Representative"",""congressNumber"":21,""stateName"":""PA"",""parties"":[""Anti-Masonic""]},{""position"":""Representative"",""congressNumber"":22,""stateName"":""PA"",""parties"":[""Anti-Masonic""]},{""position"":""Representative"",""congressNumber"":23,""stateName"":""PA"",""parties"":[""Anti-Masonic""]},{""position"":""Representative"",""congressNumber"":24,""stateName"":""PA"",""parties"":[""Anti-Masonic""],""electionDate"":""1834-10-14"",""electionCirca"":false}]"
"D000252","Peter","Denoyelles",,"Peter","Denoyelles",,,"Mr.",,,"1766","1829","[{""position"":""Representative"",""congressNumber"":13,""stateName"":""NY"",""parties"":[""Democratic Republican""],""electionDate"":""1812-12-15"",""electionCirca"":true}]"
